Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-263.33916312331974,-9.091641464359919,0.0,26.541666666666668
AMD,-147.24141265583316,-7.486662560949669,0.0,27.5
AMGN,-296.42578811073713,-9.195814739900852,0.0,27.583333333333332
AMZN,-408.33249028587454,-11.79303043576306,0.0,28.791666666666668
DJI,-77644.37175487271,-19.194257262950035,0.0,34.26315789473684
FTSE,-17109.09600408612,-53.36462741244706,0.0,39.94736842105263
GBPUSD=X,-1.810934029276413,-64.78302015092477,0.0,32.4
GME,-49.81276661567687,-3.7834822525156615,-4.243644459997412,29.125
GOOG,-191.99955455646372,-8.527394752622147,-32.592883675360966,26.458333333333332
GSPC,-10932.617497851383,-25.87273094345461,0.0,33.73684210526316
JPYUSD=X,-0.009500370290139674,-46.794572161203156,0.0,27.6
MSFT,-384.3277725689004,-7.476801332087294,0.0,27.375
NG=F,-0.5708766438102421,-0.562683574597211,-10.90603661115446,24.4
NVDA,-288.78893012867013,-8.6364168927828,0.0,27.916666666666668
OPTT,2.0716245228432077,11.366395263613711,-0.07147530511719624,26.583333333333332
QQQ,-667.2108027294194,-11.375941712203081,0.0,28.0
RUT,-6473.546602850028,-36.387394268245686,0.0,46.0
TSLA,-371.4239360183717,-4.575543199939133,-8.007984466604906,25.416666666666668
UNH,-319.17126256828277,-6.462937812092764,-4.991930190903174,28.125
^DJI,-53304.88322601573,-25.43027218611594,0.0,28.2
^FTSE,-14373.778573652135,-52.628679209057175,0.0,33.8
^GSPC,-11545.722440859376,-15.640952170317348,0.0,34.8
^RUT,-7063.760943061499,-34.36480647107466,0.0,50.6
Portfolio,-110156.23924678477,-25.05548895932479,0.0,499.5833333333333
