Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-160.27542526416718,-6.725485891940744,-13.485126481533317,23.791666666666668
AMD,-110.10964603500396,-5.099788987637975,-4.78127638467164,21.375
AMGN,-496.2779472324387,-15.594005525651204,-18.848383275518344,37.875
AMZN,-314.37120727329403,-9.059857774210316,0.0,22.75
DJI,-76479.02310882053,-28.220272550750305,0.0,41.94736842105263
FTSE,-19854.50923444187,-46.0153170120442,0.0,50.0
GBPUSD=X,-2.7840375455761137,-80.7012631626976,0.0,47.2
GME,-57.34350332465183,-6.180041380925333,0.0,34.5
GOOG,-348.8864725925419,-12.545841492442634,0.0,31.416666666666668
GSPC,-11867.277131912964,-19.74216125312589,-60.449715981404566,42.21052631578947
JPYUSD=X,-0.008411304924152936,-22.867311677532477,0.0,20.8
MSFT,-886.7948779804145,-21.25839221170176,0.0,29.25
NG=F,-3.7698493678664695,-3.2479868604374116,-1.790253945791681,35.2
NVDA,-113.11892024545814,-3.6624175579859375,0.0,13.166666666666666
OPTT,-2.7799858545240097,-8.46172519155789,-7.8232281413567595,32.0
QQQ,-622.9155708091748,-12.261868794321451,0.0,27.583333333333332
RUT,-4712.185690992498,-35.33010897971293,0.0,61.31578947368421
TSLA,-363.5455088270206,-5.370082609268931,-inf,11.958333333333334
UNH,-719.1863196510301,-13.971271897508696,0.0,27.5
^DJI,-90231.9262059406,-21.00909251691031,0.0,37.2
^FTSE,-19141.367317382643,-68.465411528242,0.0,50.2
^GSPC,-13221.757008369179,-22.087221683775688,0.0,39.8
^RUT,-7129.104808798957,-65.25234585651417,0.0,63.0
Portfolio,-120612.29273303713,-34.247891502167825,0.0,529.0416666666666
