Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-910.0627837514866,-26.057930576763166,0.0,60.333333333333336
AMD,-301.2878606529244,-10.438178392088599,-94.57300704293692,57.125
AMGN,-1311.237734975058,-26.25198383535201,0.0,63.333333333333336
AMZN,-689.7907236396849,-17.3250194752811,0.0,58.583333333333336
DJI,-134956.9126343339,-28.861504122528075,0.0,67.89473684210526
FTSE,-26317.74224147322,-89.94897608635168,0.0,66.0
GBPUSD=X,-3.965892865798451,-74.60200341118785,0.0,63.8
GME,-91.19831144177917,-10.89147809106488,0.0,61.375
GOOG,-756.0157267770753,-21.758387489295444,0.0,63.0
GSPC,-19730.170219366617,-34.69236530916464,0.0,65.6842105263158
JPYUSD=X,-0.020073478833390678,-48.49355108750856,0.0,59.2
MSFT,-1642.337475211709,-30.83123336205103,0.0,60.333333333333336
NG=F,-14.067823418598216,-14.702281101701086,0.0,55.2
NVDA,-296.9533140452398,-7.846427074360208,0.0,58.583333333333336
OPTT,-4.8779452885832635,-14.515942678283604,-21.41815195748654,53.083333333333336
QQQ,-1736.3765488517897,-27.770074883126814,0.0,60.333333333333336
RUT,-4730.915208072752,-29.805290043251244,0.0,72.63157894736842
TSLA,-448.3407212985963,-4.658052290792144,-16.333923219748108,54.583333333333336
UNH,-1638.3595968383756,-21.198612505687876,0.0,59.166666666666664
^DJI,-131667.14135531313,-22.502198238893243,0.0,61.2
^FTSE,-28258.224706933717,-110.78937170731311,0.0,68.6
^GSPC,-15540.886825136555,-95.73053002769701,0.0,65.0
^RUT,-3601.6437934863447,-56.10504614338499,0.0,67.8
Portfolio,-194177.20616422425,-36.43070753037741,0.0,1017.1666666666666
