Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-663.3065457401277,-17.364433918901902,0.0,55.5
AMD,-445.0767058507926,-10.345163752025455,-6.121798595894065,55.041666666666664
AMGN,-861.0101688560593,-14.140621004150548,-13.872905027841993,56.333333333333336
AMZN,-494.4295539098705,-9.144117061480365,-19.436623403052764,54.458333333333336
DJI,-122729.05073523987,-27.92371368322112,0.0,65.84210526315789
FTSE,-27957.579652394816,-52.93828898459855,0.0,69.89473684210526
GBPUSD=X,-4.15212622309694,-82.41079723382254,0.0,62.6
GME,-96.00883779187312,-8.351268976226647,0.0,55.625
GOOG,-599.8636948493971,-13.447229102646489,0.0,55.416666666666664
GSPC,-17036.428537122094,-25.478075176956725,0.0,64.6842105263158
JPYUSD=X,-0.017166092336811035,-78.74132347982648,0.0,53.8
MSFT,-1740.6827533653204,-32.48505225596129,0.0,56.583333333333336
NG=F,-5.159246493344273,-3.7539952037228606,0.0,55.6
NVDA,-369.58535689601916,-9.702795492657154,-12.216374601583611,54.083333333333336
OPTT,-0.8200275691699165,-1.8327359195809485,-6.010478272552994,50.791666666666664
QQQ,-1529.0191971542458,-17.62090978771248,-1051.5010312380343,55.791666666666664
RUT,-6166.957139902914,-29.623962996635235,0.0,78.73684210526316
TSLA,-889.997537261588,-6.090999134476165,-5.71893145565422,51.416666666666664
UNH,-1969.890167525485,-21.789942440085927,0.0,54.75
^DJI,-118242.33029999708,-39.017929996790905,0.0,60.6
^FTSE,-28057.270119608933,-54.2918778390448,0.0,69.6
^GSPC,-14940.203662968614,-13.974978480893922,-212.22711595484924,62.4
^RUT,-5664.373319179875,-34.386980482151095,0.0,77.2
Portfolio,-182096.26700224294,-42.202234180222035,0.0,968.8333333333334
