Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-289.42567636184214,-9.51388721291837,-9.388448277948658,37.5
AMD,-373.1196293369319,-12.9822110400613,-21.295772084784673,37.083333333333336
AMGN,-481.93827354125585,-16.818236233048676,-253.07705418145864,38.916666666666664
AMZN,-531.6826329002404,-14.4537821048416,0.0,36.875
DJI,-102598.18174965063,-35.10705762057684,0.0,47.36842105263158
FTSE,-22217.045686847236,-48.29709632452787,0.0,51.421052631578945
GBPUSD=X,-2.896132182555239,-111.37357529930483,0.0,47.2
GME,-27.269027048564226,-3.645571216885713,0.0,37.708333333333336
GOOG,-426.50799261474526,-19.289375668205327,0.0,36.666666666666664
GSPC,-12470.52943127313,-23.74903366140976,-41.17664852718047,45.526315789473685
JPYUSD=X,-0.014954092794293836,-52.5732412699713,0.0,36.6
MSFT,-948.883085984796,-21.46429841645832,-30.748317942730406,36.0
NG=F,5.4279164996624125,5.957190864495109,-0.3437166025203652,34.6
NVDA,5.554760793684697,0.14806834333943725,-0.9693258820503782,35.75
OPTT,-2.603008043746281,-10.19029609105164,0.0,33.166666666666664
QQQ,-971.1222519527561,-15.900819379548837,0.0,37.875
RUT,-5190.105071309038,-39.28947599632806,0.0,60.94736842105263
TSLA,-924.5745636474595,-10.748840476721705,0.0,34.5
UNH,-535.2974788616068,-9.059030790380742,0.0,36.0
^DJI,-138372.16964906617,-28.826341567579547,0.0,47.0
^FTSE,-21195.506821991905,-69.54461674116165,0.0,50.6
^GSPC,-15095.12979243134,-30.433577853055176,0.0,45.8
^RUT,-7966.890112631989,-34.49220521622519,0.0,61.8
Portfolio,-156347.58863333386,-40.17996887240786,0.0,667.9583333333334
