Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-220.54889755668495,-5.4770313168785645,-3.3359967206463232,37.458333333333336
AMD,-179.80904231901144,-6.965418752921238,0.0,35.583333333333336
AMGN,-553.5512137699106,-11.712095556626966,0.0,37.333333333333336
AMZN,-290.53932078895656,-8.152879286772071,-11.546365204039684,37.083333333333336
DJI,-109346.00152055961,-28.682535416483724,0.0,52.0
FTSE,-24879.441844890873,-52.71891557206862,0.0,60.94736842105263
GBPUSD=X,-3.339215857121988,-112.9450653572835,0.0,51.8
GME,-82.23277623510405,-7.252532975707703,0.0,38.041666666666664
GOOG,-454.903021943662,-15.723013886547573,0.0,38.333333333333336
GSPC,-14101.771699303566,-24.519080790877588,-75.18001241166183,53.10526315789474
JPYUSD=X,-0.012819724182374856,-65.80804703400536,0.0,39.6
MSFT,-848.4271166175794,-12.464983089721166,-53.51568558176706,34.583333333333336
NG=F,2.6036463235045684,2.7378505062055583,-0.638518054978273,42.6
NVDA,-10.166588066484842,-0.2672418811247111,-1.0931912929841587,37.458333333333336
OPTT,-0.19733710848280214,-1.0375218301479243,-1.8761805794959154,29.666666666666668
QQQ,-1134.3329214603505,-14.800316044529563,0.0,42.625
RUT,-6420.766574770648,-36.51494379203408,0.0,70.10526315789474
TSLA,-492.3975512025899,-5.919987029647235,0.0,32.458333333333336
UNH,-1309.0440315336307,-15.75641897829575,-inf,33.625
^DJI,-74230.30751906654,-24.114200230663414,-53.386665245935745,47.4
^FTSE,-23305.151979843755,-55.64733090943414,0.0,57.4
^GSPC,-17375.301206982287,-35.71646373456427,0.0,49.8
^RUT,-10238.85851550316,-82.1035199343952,0.0,71.4
Portfolio,-154157.96186877898,-37.57747593022828,0.0,696.2083333333334
