Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-243.50310803318027,-9.568562415842234,0.0,23.208333333333332
AMD,-67.30129992714025,-3.606505393923752,-10.693360157090362,23.208333333333332
AMGN,-389.4854645690948,-14.40515457694223,0.0,24.708333333333332
AMZN,-207.6973601577765,-8.0891181522411,-10.082486480309852,22.083333333333332
DJI,-64100.598957052316,-24.555353999834434,0.0,30.157894736842106
FTSE,-13418.328016822526,-36.482474869628525,0.0,33.421052631578945
GBPUSD=X,-1.3882001852417458,-71.6561268093912,0.0,28.6
GME,-46.795759921360066,-4.871725032138394,-7.60960203825996,23.625
GOOG,-208.23299462757015,-11.281744103115773,0.0,23.583333333333332
GSPC,-8097.887404872542,-19.52977134307515,0.0,29.42105263157895
JPYUSD=X,-0.00465383546445522,-15.233929798091765,-11.35543374243505,23.6
MSFT,-540.4153767276829,-12.844625696527306,0.0,22.666666666666668
NG=F,-5.104045863590226,-5.243961583732459,0.0,20.0
NVDA,-260.2776031708726,-8.020714534855275,-12.12989942373501,23.208333333333332
OPTT,1.4931442893426947,9.969781078005466,-0.22301925572336723,18.083333333333332
QQQ,-725.891609984208,-13.32083302325855,0.0,23.958333333333332
RUT,-3954.8785525499925,-32.31374005579873,0.0,35.421052631578945
TSLA,-234.0597400835043,-2.8839463505849223,-2.794809871519617,20.958333333333332
UNH,-490.4754025131268,-11.265349999467935,-15.09471081830104,23.458333333333332
^DJI,-56102.88519421997,-36.713044506601385,0.0,24.4
^FTSE,-14307.475112929911,-30.8498198629126,0.0,34.2
^GSPC,-5268.881209921942,-8.199785063054772,-14.872191498736186,24.4
^RUT,-4306.707123749863,-34.900285922871916,0.0,35.4
Portfolio,-90988.658967017,-31.30292719118108,0.0,414.125
