Asset,Net Return Ann.,Sharpe,MaxDD,Avg Daily Trades
AAPL,-38.781810358340614,-43.8587670850491,0.0,255.04166666666666
AMD,-23.29699034390367,-43.5423842644245,0.0,256.6666666666667
AMGN,-32.35301203671341,-70.52804038775156,0.0,237.625
AMZN,-35.83196601595646,-37.93927932627393,0.0,256.3333333333333
DJI,-70.742519458485,-38.25011307964924,0.0,248.8421052631579
FTSE,-113.46784857978972,-82.02039922579591,0.0,246.57894736842104
GBPUSD=X,-5.92042925861841,-71.16751620635328,0.0,46.2
GME,-16.10671194445277,-27.325739237045692,0.0,249.16666666666666
GOOG,-35.55686763074503,-49.00261572681714,0.0,253.83333333333334
GSPC,-73.80862038232642,-30.142249109382067,0.0,250.31578947368422
JPYUSD=X,-0.037529247485976865,-78.3872409794113,0.0,42.8
MSFT,-47.71096442138365,-45.05526168294529,0.0,254.375
NG=F,-11.909895599091378,-20.007605299860437,0.0,195.6
NVDA,-21.402181440527993,-21.432301015046914,0.0,259.0416666666667
OPTT,-7.4562073503531066,-26.123435568426494,0.0,192.25
QQQ,-56.25909625422944,-30.951202348256686,0.0,255.58333333333334
RUT,-71.25775725546191,-39.86893389937792,0.0,239.57894736842104
TSLA,-16.963137643677474,-38.409338343181474,0.0,259.0833333333333
UNH,-30.97504439442756,-52.601442173921846,0.0,253.58333333333334
^DJI,-76.62760935005608,-72.91497051769453,0.0,252.0
^FTSE,-141.648915819309,-88.85168497598362,0.0,249.2
^GSPC,-67.60983998004183,-75.76363522397683,0.0,250.2
^RUT,-68.00089520408773,-54.68924232845021,0.0,241.2
Portfolio,-700.8203956738216,-54.17011515340388,0.0,4028.7083333333335
